IS_Name,IS_Dimensions,IS_Stride,IS_Kernel,IS_Padding,IS_Deformable_Groups,IS_Dilation,Base_Name,Base_Dimensions,Base_Stride,Base_Kernel,Base_Padding,Base_Deformable_Groups,Base_Dilation
DConv: 4-298,"[128,128,138,138]",2,3,1,1,1,DCN: 4-267 ,"[128,128,138,138]",2,3,1,1,1
DConv: 4-308,"[128,128,69,69]",1,3,1,1,1,Conv2d: 4-277,"[128,128,69,69]",1,3,1,1,1
DConv: 4-328,"[128,128,69,69]",1,3,1,1,1,DCN: 4-295,"[128,128,69,69]",1,3,1,1,1
DConv: 4-338,"[256,256,69,69]",2,3,1,1,1,DCN: 4-304,"[256,256,69,69]",2,3,1,1,1
Conv2d: 4-368,"[256,256,35,35]",1,3,1,1,1,DCN: 4-332 ,"[256,256,35,35]",1,3,1,1,1
Conv2d: 4-398,"[256,256,35,35]",1,3,1,1,1,DCN: 4-359,"[256,256,35,35]",1,3,1,1,1
Conv2d: 4-428,"[256,256,35,35]",1,3,1,1,1,DCN: 4-386,"[256,256,35,35]",1,3,1,1,1
Conv2d: 4-458,"[256,256,35,35]",1,3,1,1,1,DCN: 4-413,"[256,256,35,35]",1,3,1,1,1
DConv: 4-488,"[256,256,35,35]",1,3,1,1,1,DCN: 4-440,"[256,256,35,35]",1,3,1,1,1
Conv2d: 4-518,"[256,256,35,35]",1,3,1,1,1,DCN: 4-467,"[256,256,35,35]",1,3,1,1,1
Conv2d: 4-548,"[256,256,35,35]",1,3,1,1,1,DCN: 4-494,"[256,256,35,35]",1,3,1,1,1
DConv: 4-568,"[512,512,35,35]",2,3,1,1,1,DCN: 4-512,"[512,512,35,35]",2,3,1,1,1
DConv: 4-578,"[512,512,18,18]",1,3,1,1,1,Conv2d: 4-522,"[512,512,18,18]",1,3,1,1,1
DConv: 4-588,"[512,512,18,18]",1,3,1,1,1,Conv2d: 4-531,"[512,512,18,18]",1,3,1,1,1
